,Race,Age,Gender,Location,Year,Count,Population
178,Asian,15–19,F,F5,2014,12.0,290.0
179,Asian,15–19,F,F5,2015,11.0,279.0
180,Asian,15–19,F,E2,2010,8.0,82.0
181,Asian,15–19,F,E2,2011,3.0,76.0
182,Asian,15–19,F,E2,2012,1.0,72.0
183,Asian,15–19,F,E2,2013,0.0,76.0
184,Asian,15–19,F,E2,2014,2.0,73.0
185,Asian,15–19,F,E2,2015,8.0,73.0
186,Asian,15–19,F,C4,2010,3.0,15.0
187,Asian,15–19,F,C4,2011,1.0,18.0
188,Asian,15–19,F,C4,2012,2.0,22.0
189,Asian,15–19,F,C4,2013,1.0,21.0
190,Asian,15–19,F,C4,2014,0.0,18.0
191,Asian,15–19,F,C4,2015,2.0,18.0
192,Asian,15–19,F,C6,2010,2.0,40.0
193,Asian,15–19,F,C6,2011,3.0,34.0
194,Asian,15–19,F,C6,2012,3.0,37.0
195,Asian,15–19,F,C6,2013,2.0,43.0
196,Asian,15–19,F,C6,2014,3.0,41.0
197,Asian,15–19,F,C6,2015,2.0,39.0
198,Asian,15–19,F,A2,2010,0.0,7.0
199,Asian,15–19,F,A2,2011,0.0,8.0
200,Asian,15–19,F,A2,2012,0.0,12.0
201,Asian,15–19,F,A2,2013,2.0,13.0
202,Asian,15–19,F,A2,2014,2.0,12.0
203,Asian,15–19,F,A2,2015,1.0,10.0
204,Asian,15–19,F,A6,2010,0.0,66.0
205,Asian,15–19,F,A6,2011,0.0,70.0
206,Asian,15–19,F,A6,2012,1.0,81.0
207,Asian,15–19,F,A6,2013,0.0,81.0
208,Asian,15–19,F,A6,2014,5.0,93.0
209,Asian,15–19,F,A6,2015,1.0,96.0
210,Asian,15–19,F,F3,2010,3.0,53.0
211,Asian,15–19,F,F3,2011,2.0,58.0
212,Asian,15–19,F,F3,2012,6.0,60.0
213,Asian,15–19,F,F3,2013,3.0,59.0
214,Asian,15–19,F,F3,2014,4.0,61.0
215,Asian,15–19,F,F3,2015,5.0,64.0
216,Asian,15–19,F,G2,2010,0.0,21.0
217,Asian,15–19,F,G2,2011,0.0,27.0
218,Asian,15–19,F,G2,2012,2.0,25.0
219,Asian,15–19,F,G2,2013,0.0,25.0
220,Asian,15–19,F,G2,2014,1.0,24.0
221,Asian,15–19,F,G2,2015,2.0,22.0
222,Asian,15–19,F,B1,2010,1.0,192.0
223,Asian,15–19,F,B1,2011,0.0,203.0
224,Asian,15–19,F,B1,2012,2.0,202.0
225,Asian,15–19,F,B1,2013,2.0,216.0
226,Asian,15–19,F,B1,2014,0.0,232.0
227,Asian,15–19,F,B1,2015,0.0,246.0
228,Asian,15–19,F,B7,2010,1.0,37.0
229,Asian,15–19,F,B7,2011,1.0,44.0
230,Asian,15–19,F,B7,2012,2.0,35.0
231,Asian,15–19,F,B7,2013,1.0,33.0
232,Asian,15–19,F,B7,2014,1.0,38.0
233,Asian,15–19,F,B7,2015,1.0,31.0
234,Asian,15–19,F,C2,2010,2.0,47.0
235,Asian,15–19,F,C2,2011,1.0,58.0
236,Asian,15–19,F,C2,2012,0.0,74.0
237,Asian,15–19,F,C2,2013,0.0,93.0
238,Asian,15–19,F,C2,2014,0.0,101.0
239,Asian,15–19,F,C2,2015,0.0,107.0
240,Asian,15–19,F,D3,2010,0.0,14.0
241,Asian,15–19,F,D3,2011,0.0,27.0
242,Asian,15–19,F,D3,2012,3.0,40.0
243,Asian,15–19,F,D3,2013,0.0,51.0
244,Asian,15–19,F,D3,2014,1.0,53.0
245,Asian,15–19,F,D3,2015,1.0,54.0
246,Asian,15–19,F,A1,2010,1.0,14.0
247,Asian,15–19,F,A1,2011,1.0,14.0
248,Asian,15–19,F,A1,2012,1.0,18.0
249,Asian,15–19,F,A1,2013,0.0,13.0
250,Asian,15–19,F,A1,2014,0.0,12.0
251,Asian,15–19,F,A1,2015,2.0,12.0
252,Asian,15–19,F,D2,2010,11.0,820.0
253,Asian,15–19,F,D2,2011,9.0,785.0
254,Asian,15–19,F,D2,2012,12.0,798.0
255,Asian,15–19,F,D2,2013,9.0,832.0
256,Asian,15–19,F,D2,2014,6.0,881.0
257,Asian,15–19,F,D2,2015,8.0,901.0
258,Asian,15–19,F,A5,2010,1.0,115.0
259,Asian,15–19,F,A5,2011,4.0,127.0
260,Asian,15–19,F,A5,2012,1.0,144.0
261,Asian,15–19,F,A5,2013,1.0,146.0
262,Asian,15–19,F,A5,2014,0.0,166.0
263,Asian,15–19,F,A5,2015,2.0,179.0
276,Asian,15–19,F,F2,2010,2.0,18.0
277,Asian,15–19,F,F2,2011,1.0,15.0
278,Asian,15–19,F,F2,2012,2.0,13.0
279,Asian,15–19,F,F2,2013,0.0,11.0
280,Asian,15–19,F,F2,2014,1.0,8.0
281,Asian,15–19,F,F2,2015,3.0,9.0
282,Asian,15–19,F,D4,2010,0.0,11.0
